,0.55833,0.5875,The Mentalist,
,0.61389,0.63403,The Office,
,0.63889,0.65833,The Office,
,0.65833,0.6875,The Office,
,0.69167,0.71944,The Mentalist,
,0.92986,0.95903,The Mentalist,
1/3/16,-0.02847,0.00208,The Mentalist,
,0.62708,0.65486,The Mentalist,
,0.94931,0.97847,The Office,
1/4/16,0.88472,0.91389,The Office,
1/5/16,0.90556,0.93472,The Office,
,0.93681,0.96597,The Office,
1/6/16,0.7875,0.80278,The Office,
,0.80417,0.81944,The Office,
,0.81944,0.83403,The Office,
,0.83403,0.84861,The Office,
,0.85,0.86528,The Office,
,0.86528,0.87986,The Office,
,0.87986,0.89514,The Office,
,0.89583,0.90972,The Office,
1/7/16,,,-,
1/8/16,0.49167,0.52083,The Office,
,0.52153,0.53681,The Office,
,0.53681,0.55208,The Office,
,0.55278,0.56806,The Office,
,0.56806,0.58333,The Office,
,0.58472,0.6,The Office,
,0.60972,0.63819,The Mentalist,
1/9/16,0.67431,0.70417,Parenthood,
,0.79583,0.825,The Mentalist,
,0.90972,0.98889,Ender's Game,
1/10/16,0.47361,0.50208,The Mentalist,
,0.51319,0.57083,The Mentalist,
,0.58819,0.60417,Star Wars: The Clone Wars,
,0.62014,0.6375,Star Wars: The Clone Wars,
,0.63681,0.65347,Star Wars: The Clone Wars,
,0.65347,0.66944,Star Wars: The Clone Wars,
,0.71111,0.72778,Star Wars: The Clone Wars,
,0.72708,0.74236,Star Wars: The Clone Wars,
,0.86944,0.88542,Star Wars: The Clone Wars,
,0.88681,0.90278,Star Wars: The Clone Wars,
1/11/16,0.71944,0.73542,Star Wars: The Clone Wars,
,0.84861,0.86528,Star Wars: The Clone Wars,
,0.91458,0.93056,Star Wars: The Clone Wars,
,0.95486,0.98819,The X-Files,
1/12/16,0.68472,0.71667,The X-Files,
,0.72569,0.75556,The X-Files,
,0.75556,0.77153,Star Wars: The Clone Wars,
1/13/16,0.91806,0.94861,The X-Files,
1/14/16,0.56181,0.57778,Star Wars: The Clone Wars,
,0.57778,0.59375,Star Wars: The Clone Wars,
,0.59931,0.61528,Star Wars: The Clone Wars,
,0.73264,0.74792,Star Wars: The Clone Wars,
,0.76181,0.77778,Star Wars: The Clone Wars,
,0.87292,0.88889,Star Wars: The Clone Wars,
,0.89167,0.90903,Star Wars: The Clone Wars,
,0.91875,0.93542,Star Wars: The Clone Wars,
1/15/16,,,-,
1/16/16,0.03472,0.05208,Star Wars: The Clone Wars,
,0.46597,0.48194,Star Wars: The Clone Wars,
,0.48194,0.49792,Star Wars: The Clone Wars,
,0.49722,0.51319,Star Wars: The Clone Wars,
1/17/16,0.85903,0.94792,Sherlock Holmes,
,0.975,0.99097,Star Wars: The Clone Wars,
1/18/16,0.00972,0.02569,Star Wars: The Clone Wars,
,0.41806,0.43403,Star Wars: The Clone Wars,
,0.5,0.53056,The X-Files,
,0.54097,0.57292,The X-Files,
,0.57222,0.5875,The Office,
,0.58681,0.60208,The Office,
,0.60764,0.62292,The Office,
,0.625,0.63958,The Office,
,0.65278,0.66806,The Office,
,0.67014,0.68542,The Office,
1/19/16,0.67708,0.69236,The Office,
,0.69306,0.70833,The Office,
,0.70833,0.72361,The Office,
,0.725,0.74097,Star Wars: The Clone Wars,
